,tweet,Python_cosine,python_euclidean,matlab
1810,really important future plans sydney university pushes light rail line along road http,2,2,3
1811,good call sydney university pushes light rail line along road http,2,2,3
1812,accident crystal street road road,4,3,5
1813,recently lodged submission draft urban transformation strategy http,1,1,4
1814,live eastern suburbs get living west road go gaol,0,0,2
1815,old abandoned furniture showroom road sydney australia,2,2,2
1816,blocked broken vehicle westbound road street,4,3,5
1817,predicting turn ticker tape parade road greet thunder,0,0,2
1818,nsw road traffic worst sydney needs done,2,2,1
1819,navigates home road,0,0,2
1820,burned husk road,0,0,2
1821,street,4,3,4
1822,1 3 westbound lanes closed approaching due car breakdown traffic heavy,3,4,1
1823,traffic extra mile road,3,4,1
1824,sydney actually fix things changed,2,2,4
1825,road art work australian tom thompson http,1,1,3
1826,route delayed 10 minutes due broken bus road station street auburn,4,3,5
1827,west burst water main road west centenary drive,0,0,2
1828,sydney road http,2,2,3
1829,buses delayed northbound road approaching road earlier accident west,0,0,2
1830,way avoiding road,0,0,2
1831,closed completely two lanes closed fun trip work hope involved accidents okay,0,0,4
1832,central road,0,0,2
1833,traffic road outrageously expensive,3,4,1
1834,creepy delights road,0,0,2
1835,scary moment coming home work dog running across busy traffic road thankfully ok,3,4,1
1836,map wall road,0,0,2
1837,traffic lights road bold,3,4,1
1838,breaking street closed due bomb threat road blocked road,4,3,5
1839,wow got sexy dresses arrived road,0,0,2
1840,sexy black beautiful,0,0,4
1841,accident eastbound road approaching wattle street,4,3,5
1842,road nsw http,1,1,3
1843,busy stuck road,0,0,2
1844,blocked broken vehicle road james ruse drive exit,0,0,2
1845,concord park nsw feeling blessed road http,1,1,3
1846,1 3 westbound lanes closed road truck breakdown http,1,1,3
1847,route buses longer delayed heavy traffic road auburn,3,4,1
1848,road heading insane sydney traffic,2,2,1
1849,added last back lets dance filmed city road part road ultimo tech watching,0,0,2
1850,question living road sydney,2,2,2
1851,really surprises stock available online try collect road auburn store,0,0,2
1852,put toll road,0,0,2
1853,yes,0,0,4
1854,like six guitar shops road exact times equipment sale,0,0,2
1855,takes forever get anywhere cause spend time avoiding road,0,0,2
1856,today inaugural sydney cannabis rally,2,2,4
1857,victoria park,0,0,4
1858,road broadway sydney,2,2,2
1859,currently torn road river though james ruse drive also appeals resume,0,0,2
1860,memory 90 street racing sydney auburn around hotel road great pub back http,2,2,3
1861,spearmint milkshake olympia milk bar road traditional,0,0,2
1862,nsw auburn road,0,0,2
1863,car accident west bound lane 3,0,0,4
1864,shout bag dicks road swerved gutter splash water way home shops,0,0,2
1865,2 car accident rocky point road jubilee northbound,0,0,2
1866,car breakdown road near westbound,0,0,2
1867,road realness motel,0,0,2
1868,nice cellars road usual choice place way significantly though,0,0,2
1869,many wedding dress shops road important wednesday night questions,0,0,2
1870,auburn blocked broken vehicle westbound road road,0,0,2
1871,dresses road sale 100,0,0,2
1872,sale http,1,1,4
1873,risking life road,0,0,2
1874,road http http,1,1,3
1875,found dog,0,0,4
1876,found neighbors street near road street male http,4,3,5
1877,pass road near m2 sydney clone,2,2,2
1878,starts 27th december,0,0,4
1879,57 road concord,0,0,2
1880,link http,1,1,4
1881,road scary,0,0,2
1882,summer hill traffic congestion hume highway south road,3,4,1
1883,road bridge road contain retail commercial activities 84,0,0,2
1884,xmas sale,0,0,4
1885,135 road 150,0,0,2
1886,conditions apply,0,0,4
1887,selected items including http,1,1,4
1888,kissed clear sydney sky,2,2,4
1889,famous sydney buses,2,2,4
1890,drove road,0,0,2
1891,gave cold sore,0,0,4
1892,cannabis rally sydney,2,2,4
1893,saturday 9 january,0,0,4
1894,free weed http,1,1,4
1895,decide broadway road running light rail like george street chance blown,4,3,5
1896,first experience car almost wiped road upside invented new delightfully colourful cursing,0,0,2
1897,call always answer road,0,0,2
1898,road light rail instead http sydney,2,2,3
1899,revitalise road http,1,1,3
1900,sign petition revitalise road http,1,1,3
1901,distance based tolling like equivalent tolls long distance travel road trick,0,0,2
1902,proposing changes road say dec 18,0,0,2
1903,road medical centre nsw australia http,1,1,3
1904,jenny thai treatment centre road http,1,1,3
1905,idiots road,0,0,2
1906,3 days offer 25 bridesmaids dresses store 135 road offer ends sunday 13th dec,0,0,2
1907,john broadcasting live auburn come see road,0,0,2
1908,everywhere flooded highlighted terrible road truly city,0,0,2
1909,accident eastbound road hill road,0,0,2
1910,blocked broken vehicle westbound road walker street,4,3,5
1911,bus goes along road past,0,0,2
1912,calls 20 years ago rail trench road beautification even athens 3 line metro,0,0,2
1913,4 heavens sake dinky little trains make things worse serious proper metro road,0,0,2
1914,buses returning time liverpool road summer hill delays due heavy traffic approaching road,3,4,1
1915,may need life sports hats coach road,0,0,2
1916,spotted road last week,0,0,2
1917,road safe one appliance district 14 http amp amp amp,1,1,3
1918,auburn traffic congestion eastbound road road,3,4,1
1919,http saw outside pub road today keen,1,1,3
1920,actually good album listening traffic road man truly care staying one lane,3,4,1
1921,glebe accident eastbound road ross,0,0,2
1922,drop town hall tomorrow chat team future,0,0,4
1923,motorbike rider cut truck slammed plate glass window road,0,0,2
1924,live periscope road,0,0,2
1925,liked video http small crane road,1,1,3
1926,small crane road,0,0,2
1927,whole road corridor shot sun,0,0,2
1928,article road indian telegraph,0,0,2
1929,pedestrian mobility accessibility strategy road renewal,0,0,2
1930,day 16 road photography,0,0,2
1931,dinner time lines http,1,1,4
1932,place sydney m2,2,2,4
1933,tonight story begins road soft serve machine order air ripe,0,0,2
1934,accident frederick street south road,4,3,5
1935,traffic lights blacked anticlockwise road lyons road,3,4,1
1936,rh turns take peak hour traffic queue lights,3,4,4
1937,traffic lights working road bold street,4,3,1
1938,dealer road couple look restored lot idea pricing condition,0,0,2
1939,exhibited proposals road redevelopment review add comments,0,0,2
1940,ready breakfast eat hearty tonight dine red rooster road,0,0,2
1941,yay spartans back,0,0,4
1942,extremely hazardous condition road great north road,0,0,2
1943,written close yet wrong side road,0,0,2
1944,highlight day seeing woman road wearing pants kind pants,0,0,2
1945,new discusses growth craft around road http,1,1,3
1946,looked nasty http,1,1,4
1947,buses road returning time earlier delays due car accident,0,0,1
1948,buses longer diverting road earlier car acc delayed 25 minutes,3,4,1
1949,ca believe put green lane need word describe road effect,0,0,2
1950,actually across road construction workers along road,0,0,2
1951,accident westbound road east concord road,0,0,2
1952,road absolutely nothing miss,0,0,2
1953,buses delayed 20 minutes road due heavy traffic earlier accidents,3,4,1
1954,glebe festival glebe point road bridge road road,0,0,2
1955,road way city past dealership,0,0,2
1956,road around corner north,0,0,2
1957,friday evening road raining always forget traffic every damn time,3,4,1
1958,current situation bus sending water wave pedestrians road bus hydroplanes getting walking,0,0,2
1959,drop town hall sat 14 nov future,0,0,4
1960,go road see heaps many makes excited,0,0,2
1961,gardiner things make great stop road,0,0,2
1962,driver thought wasted took alexandria road,0,0,2
1963,sydney shop coming life nearly full,2,2,4
1964,located road auburn nsw,0,0,2
1965,good morning manila equivalent road peak hour much worse http,1,1,3
1966,public meeting tonight town hall road urban renewal strategy http,1,1,3
1967,stall today come find nothing fixing road,0,0,2
1968,come check fabulous miss see stop festival gate 9 church,0,0,4
1969,uncertainty road development plans ready http nsw government,1,1,3
1970,please share page help us impact new road strategy,0,0,2
1971,accident eastbound road frederick street,4,3,5
1972,silk road road,0,0,2
1973,may need apologise people road different issue,0,0,2
1974,road plans leaving community developers limbo urban http,1,1,3
1975,road plans taking long leaving community developers limbo,0,0,2
1976,info event future chance get right info http,1,1,4
1977,slow traffic eastbound road,3,4,1
1978,property developers circling road plans finalised,0,0,2
1979,wary developers offering buy home along road http,1,1,3
1980,developers circle sites near road http,1,1,3
1981,road developers circling plans complete residents area slated development http,1,1,3
1982,unleashed plan place protect homeowners http,1,1,4
1983,hope harassed homeowners fully aware pitfalls signing agreements http,1,1,4
1984,australia news road developers begin circling plans complete http,1,1,3
1985,road developers begin circling plans complete http,1,1,3
1986,love old milk bar one road still going strange place straws,0,0,2
1987,theres car stuck broken lane 1 eastbound road lights,0,0,2
1988,wires eastbound road street,4,3,5
1989,things see road big sydney dog,2,2,2
1990,stalled vehicle road alt street,4,3,5
1991,olympia milk bar road still open,0,0,2
1992,favourite line far road past broadway girls sunny sunny day,0,0,2
1993,love hanging road though sunday peak hour traffic worse weekday peaks,3,4,1
1994,road stores mean car yards yes,0,0,2
1995,great seeing support road,0,0,2
1996,one courts delayed way battling road,0,0,2
1997,looking forward 2 event judiciary serve people nsw,0,0,4
1998,workers cleaning concrete spill road near james ruse drive 1 lane closed,0,0,2
1999,blue always blue unlike friends west road,0,0,2
2000,broken truck westbound road frederick,0,0,2
2001,anticipatory gather road,0,0,2
2002,nsw parliament planning road bays precinct sydney,2,2,2
2003,http open,1,1,4
2004,looks bumpier road,0,0,2
2005,west burst water main westbound road road,0,0,2
2006,somewhere road,0,0,2
2007,whole swathe road ripe judicious application high explosives,0,0,2
2008,wait road reckon aircraft noise problem,0,0,2
2009,stalled vehicle eastbound road,0,0,2
2010,chronic delays westbound road paddys overpass far eye see,0,0,2
2011,commute morning road pouring rain dazzling sunshine glorious sydney spring,2,2,2
2012,open letter road http,1,1,3
2013,buy stiletto building enjoy high yield road strip australian financial review http,1,1,3
