,tweet,Python_cosine,python_euclidean,matlab
298,lot wedding dress shops road morning making feel certain kind way,0,0,2
299,location 18 road nsw river apartment discharge sewage unbearable smell legal,0,0,2
300,five dock accident road street,4,3,5
301,traffic road delayed vacuous real estate agents,3,4,1
302,one road,0,0,2
303,glebe breakdown road,0,0,2
304,west broken truck westbound road telopea avenue,0,0,2
305,wonder loved glamorous drive road,0,0,2
306,quite downtown mopeds,0,0,4
307,nice thing undulation ridges valleys restoring channels great project,0,0,4
308,pole drive road,0,0,2
309,people cars directing cars using cars chosen purposes cities,0,0,4
310,75 public space 95 street frontage given car place people,4,3,4
311,terrible always found road traffic funnel good business people,3,4,1
312,1 kilometre passed another pedestrian cut 3 times turning cars,0,0,4
313,oasis massage road nsw http,1,1,3
314,great erotic massage road http,1,1,3
315,global vintage road super nice ever bad experience know nothing,0,0,2
316,sydney,2,2,4
317,abstract,0,0,4
318,edit ticket inspectors stopping westbound buses road team keep eye,0,0,2
319,posters intersection road 4 ways intersection,0,0,2
320,corner road roads morning,0,0,2
321,road fucked everyday,0,0,2
322,road last hour moved u traffic,3,4,1
323,clyde train crossing lights malfunctioning directions road marsh street,4,3,5
324,clyde changed traffic conditions road marsh street,4,3,1
325,auburn broken truck northbound road road,0,0,2
326,caught speeding red light camera road desperate drunk daughter,0,0,2
327,mad monday starts tonight road,0,0,2
328,okay vote road around fuck bigot scum,0,0,2
329,blocked broken vehicle westbound road western motorway,0,0,2
330,breakdown eastbound road approaching frederick street,4,3,5
331,publican senior rear admiral duncan road district,0,0,2
332,follow gps know area,0,0,4
333,guy wan na take road exits,0,0,2
334,road piece shit worst road au,0,0,2
335,cross road instead road peak hour,0,0,2
336,road oldest pubs sunday drive along road took us rediscover sydney oldest,2,2,2
337,imagine woke tomorrow road fixed,0,0,2
338,curious concrete extreme heat exploring road ventilation facility part http,1,1,3
339,road need wedding shops,0,0,2
340,forest lodge blocked fallen trees road approaching ross street,4,3,5
341,traffic congestion eastbound road approaching bold street,4,3,5
342,see congestion road,0,0,2
343,worst choke points australia fines force trucks new tunnel http,1,1,4
344,five dock broken truck westbound road road,0,0,2
345,yeah ease congestion road reducing one shared lane trucks cars buses adding light rail,0,0,2
346,west blocked broken vehicle road road,0,0,2
347,sydney people ca afford toll well road side streets car parks getting olympic park good,2,2,2
348,fair rest crowd still stuck traffic road,3,4,1
349,good easing congestion road toll working treat,0,0,2
350,walk past road literally keep walking,0,0,2
351,buses delayed 20 minutes due heavy traffic concord road leicester avenue road,3,4,1
352,perhaps creeped tweeted saying saw road,0,0,2
353,car rear-ended cab sydney road traffic starting build cc,2,2,1
354,traffic road stuffed controversial financial advisers,3,4,1
355,traffic congestion outbound road approaching road,3,4,1
356,slow traffic southbound booth street road road,3,3,1
357,sunset road,0,0,2
358,auburn broken truck road approaching street,4,3,5
359,still using going road,0,0,2
360,team discuss road ventilation facility wednesday,0,0,2
361,man stabbed buttocks stolen robbery road,0,0,2
362,sold auctioneer road day real estate auctions,0,0,2
363,get cancel put light rail road cars trucks going go,0,0,2
364,huge throng road west watching stunned,0,0,2
365,shared path exactly cyclists pedestrians certainly wheels chair users thrown road park,0,0,2
366,one convincing road,0,0,2
367,really bad week car yard road tie red balloons cars,0,0,2
368,beat tolls afternoon gridlock road go http,1,1,3
369,government make road tolls well cause mayhem,0,0,2
370,road use tlc though,0,0,2
371,according nsw government website average speed road 10 minister know estimates,0,0,2
372,min stuart says know average speed road portfolio,0,0,2
373,nsw auburn blocked broken vehicle northbound saint road road,0,0,2
374,liked video http shit see road typical,1,1,3
375,welcome sydney traffic manic road,2,2,1
376,sydney finest short stay boutique hotel located road discreet parking entry,2,2,2
377,traffic congestion road approaching street,4,3,1
378,forest lodge heavy traffic ross street saint johns road road,3,4,1
379,road half,0,0,2
380,fire street south road,4,3,5
381,one road remember going kid,0,0,2
382,hello front road sydney playing sunday new trio mandate,2,2,2
383,someone painted swastika building road building empty remove cover,0,0,2
384,auburn heavy traffic westbound road saint road bold street,4,3,1
385,single sided east tunnel section concord part underneath road sydney,2,2,2
386,traffic road buggered organic real estate agents,3,4,1
387,line close due light rail tracks except clyde road section,0,0,2
388,finally discovered terrifying road peak hour,0,0,2
389,supposed http,1,1,4
390,hello,0,0,4
391,want update performing lady hampshire hotel road sunday 27th august,0,0,2
392,many times hear shit road becoming sydney,2,2,2
393,famous auto alley set redevelopment exclusive report tonight,0,0,4
394,take long rip peter mitchell victim increased traffic road direct result,3,4,1
395,one better heart attack close road concord die blame liberals,0,0,2
396,road shit fight morning,0,0,2
397,good morning lettuce rejoice,0,0,4
398,get cardboard box road,0,0,2
399,route delayed 30 minutes auburn due heavy traffic road,3,4,1
400,give us shoot road bumper bumper make success many people ca afford,0,0,2
401,clear run one week toll introduced road,0,0,2
402,heavy traffic link road road victoria road,3,4,1
403,west accident road centenary drive,0,0,2
404,nsw ca pick good team certainly ca manage roads imagine putting toll ruining road good,0,0,2
405,looked like incident funny accurate funny,0,0,4
406,well well predicted tolled road,0,0,2
407,road redevelopment plan,0,0,2
408,wrong hoping sydney gale collect sumo send rolling road yeah probably,2,2,2
409,windy,0,0,4
410,road north call frank http,1,1,3
411,bless wind nearly became roadkill road,0,0,2
412,glebe traffic lights blacked directions road,3,4,1
413,accident road luke avenue,0,0,2
414,incompetence new toll funnels motorists sydney road,2,2,2
415,place toll road use proceeds pay,0,0,2
416,planners aus capitals favour roads economic benefit favours rail editorial http,1,1,4
417,said happen widening put tolls traffic go back road,3,4,1
418,city epic drive tolls take scenic route road,0,0,2
419,feel like check 6 epic drives world http travel,1,1,4
420,read article today regarding increased traffic road due new toll road option inc traffic,3,4,1
421,sister sob sob race bike mini along road town,0,0,2
422,road disaster,0,0,2
423,place road worth damn,0,0,2
424,heavily regret taking road home,0,0,2
425,sydney surprise surprise new toll funnels motorists sydney toll-free road http,2,2,3
426,always take road work always traffic,3,4,1
427,please run sign boards along road reminding people traffic standstill brought liberal party,3,4,1
428,road open please allow extra time traffic still heavy,3,4,1
429,clyde marsh closed due railway boom gates stuck,0,0,4
430,road concord call adrian wu http,1,1,3
431,thought stuck road,0,0,2
432,traffic road insane normal,3,4,1
433,road going nightmare ca blame people though tolls significant thinking using,0,0,2
434,poor road tolls effect yesterday,0,0,2
435,imagine traffic spill,3,4,4
436,today installment inevitable new toll funnels motorists sydney road http,2,2,3
437,liberal failing nsw traffic increased road due motorists avoiding new toll http,1,1,3
438,heavy traffic northbound road road road,3,4,1
439,traffic lights flashing yellow directions road bridge,3,4,1
440,turns people using road instead paying new toll nsw government fail like http,1,1,3
441,tolls congestion road good job nsw government,0,0,2
442,road packed,0,0,2
443,empty taking road road making road two hours late,0,0,2
444,got church street switch road avoid toll morning hope get crabs,4,3,5
445,frustrating start new toll road choked today,0,0,2
446,rip road,0,0,2
447,welcome back road sydney policy tolling roads fucking disgrace,2,2,2
448,road currently moving 1 metre 10 minutes thank,0,0,2
449,drivers clog road avoid new toll,0,0,2
450,one day drivers opt congested road paying newly introduced toll,0,0,2
451,road city west concord road,0,0,2
452,new toll funnels motorists sydney road,2,2,2
453,new toll funnels motorists sydney road http,2,2,3
454,avoid road new toll turns disaster,0,0,2
455,tolls great success already road jam packed 24/7,0,0,2
456,traffic like road,3,4,1
457,empty church street bay drive drivers avoid tolls road heavy,4,3,5
458,aerial view road vs toll introduced last night http,1,1,3
459,clyde heavy traffic road new toll began midnight http,3,4,1
460,accident road great north road taylor street,4,3,5
461,big plans coming road,0,0,2
462,perfect time invest become apart new growing community,0,0,4
463,back road,0,0,2
464,toll returns tomorrow western sydney drivers forced pay toll road 43 years,2,2,2
465,road rescue control one appliance district 14 rescue,0,0,2
466,road rescue going district 14 rescue,0,0,2
467,3 improvement road boulevard city state government least moving things forward,0,0,2
468,toll driving missing lights vs petrol time spent driving along road cost may end high,0,0,2
469,tom melbourne spotted road near still stuck traffic,3,4,1
470,breakdown road,0,0,2
471,heavy traffic road road,3,4,1
472,road fans try get game,0,0,2
473,road smell like bacon,0,0,2
474,government spend million road neighbourhood upgrades http,1,1,3
475,blocked broken vehicle westbound road west street,4,3,5
476,sydney tolls road http,2,2,3
477,remembering lived road saw ex new side ho demanded get fuck street,4,3,5
478,sad planters along road,0,0,2
479,buses delayed 20 min broadway road chippendale due heavy traffic,3,4,1
480,another bus failure stranded road asked alert issued pick us met blank stare,0,0,2
481,road sydney,2,2,2
482,make alexandria unliveable boy road see vandals,0,0,2
483,slow traffic southbound street street road,4,3,5
484,saw des drive road getting sliders,0,0,2
485,least going home satisfied,0,0,4
486,connection speed road nsw better send letter use email,0,0,2
487,52 road http,1,1,3
488,road http,1,1,3
489,auburn stalled bus westbound road northumberland road,0,0,2
490,nsw breakdown eastbound road flood street,4,3,5
491,new car park rent road concord new south wales australia,0,0,2
492,use boat western sydney raids towed road show force,2,2,2
493,accident road street,4,3,5
494,five dock breakdown eastbound road approaching harris road,0,0,2
495,catching people bus road sunny sydney winter day glorious,2,2,2
496,road light rail shelved intermediate transit still table http,1,1,3
497,west heavy traffic inbound western motorway bay drive road,3,4,1
498,buses travelling delayed 20 minutes railway parade road road due heavy traffic,3,4,1
499,west heavy traffic western motorway bay drive road,3,4,1
500,nsw boat fishing sydney,2,2,4
501,save thousands brand new boat,0,0,4
502,secure deal new boat,0,0,4
503,thousands brand new boat,0,0,4
504,visit us road next 3 weeks http,1,1,3
505,five dock broken truck westbound road near road,0,0,2
506,road got car dealerships add visit bucket list,0,0,2
507,thinking insanely hard sydney band name playfully referential road band,2,2,2
508,road point full state government statement http,1,1,3
509,road shops http,1,1,3
510,anti people know difference road,0,0,2
511,road tram plans developed scrapped http losers lacking logic,1,1,3
512,stop lantern procession road,0,0,2
513,road filthy traffic worst road australia needs light rail,3,4,1
514,drove past record store went road last night sad empty weekend plans nothing farewell drinks,0,0,2
515,road light rail honestly think viable good use public funds route services buses,0,0,2
516,australia road tram plans developed scrapped,0,0,2
517,great news detailed plans light rail line along road linking sydney central business,2,2,2
518,breakdown westbound road west street,4,3,5
519,said improving bus frequencies road opening stage 1,0,0,2
520,asked plans case studies projects include light rail road,0,0,2
521,road tram plans developed scrapped shortsighted http,1,1,3
522,sad cancelled light rail really road worked properly,0,0,2
523,road baby http,1,1,3
524,road light rail project longer go ahead,0,0,2
525,nsw really hate public transport road tram plans developed scrapped http,1,1,3
526,state plan sydney light rail future dec,2,2,4
527,road tram plans scrapped http,1,1,3
528,great article road light rail absolutely astonishing scrap sydney needed,2,2,2
529,road tram plans developed scrapped http,1,1,3
530,give turnkey project running soon,0,0,4
531,sydney road tram plans developed scrapped,2,2,2
532,road light rail developed scrapped,0,0,2
533,road tram plans developed scrapped congestion loving,0,0,2
534,http,1,1,4
535,road tram plans developed scrapped,0,0,2
536,well make community unhappy,0,0,4
537,black toast booth also pub coffee shop front room empire hotel corner johnston road,0,0,2
538,auburn hazard westbound road street,4,3,5
539,trucks blocking three lanes traffic road footpath closed park building,3,4,1
540,little road commute,0,0,2
541,road around,0,0,2
542,buses concord delayed 15 minutes due heavy traffic road road,3,4,1
543,breakdown eastbound road frederick street,4,3,5
544,forest lodge accident road ross street,4,3,5
545,traffic road stuffed embattled dickheads park clearways,3,4,1
546,rope chill tonight place time 3 3 3,0,0,4
547,tuesday sanctuary road,0,0,2
548,driving sydney road almost shat process,2,2,2
549,true accepted crooked sidewalks house road defeat shoe leave aching feet,0,0,2
550,apparently us motorway users free option using alternative routes thanks advice road,0,0,2
551,road clear please way olympic park,0,0,2
552,sort fucking road,0,0,2
553,f road traffic moving sort,3,4,1
554,auction tomorrow,0,0,4
555,saturday 15 july,0,0,4
556,one nine secure art deco,0,0,4
557,traffic road time colourful protesters,3,4,1
558,thinking running couple rolls film shop road glebe worth try,0,0,2
559,open inspection,0,0,4
560,wednesday 12 july,0,0,4
561,boutique setting quiet http,1,1,4
562,university sydney main quadrangle viewed road http,2,2,3
563,sydney view road university sydney http,2,2,3
564,view road university sydney sydney,2,2,2
565,canada bay heavy traffic outbound road great western highway swan avenue,3,4,1
566,heavy traffic westbound road lucas,3,4,1
567,buses delayed 15 minutes due heavy traffic road street street,4,3,1
568,breakdown westbound road near johnston street,4,3,5
569,new south wales live five bedroom house road bus,0,0,2
570,slow traffic eastbound frederick road,3,4,1
571,right done road,0,0,2
572,road motorway,0,0,2
573,patience drive safely road bus morning,0,0,2
574,heavy traffic directions road bold street due two car crash,4,3,1
575,mood ticks afternoon thunderstorm road traffic,3,4,1
576,sources suns pursuit turning use cap space absorb dumps paired w assets open moving vets going young,0,0,4
577,road hell fuck people drive city,0,0,2
578,way sold land earmarked motorways turning road horror,0,0,2
579,know bits road la entire city,0,0,2
580,flag shop road called flags fantastic fantastic,0,0,2
581,road iconic,0,0,2
582,road noisy ca hear think blissful mental silence,0,0,2
583,heads due road end powell street closed tomorrow http,4,3,5
584,traffic lights flashing yellow road bridge road,3,4,1
585,one along road,0,0,2
586,traffic road hipster breakfast radio announcers,3,4,1
